COUNTY,year,n,nMMR,nDTP,nPolio,nPBE,nPME,cases,rates,avg_DTP,cases/n,avg_PBE/PME
ORANGE,2010,41113,37698,37784,37656,1078,143,499,16.54,0.919028045,0.01213728,0.029698635
ORANGE,2011,41693,38425,38352,38382,1211,99,142,4.66,0.919866644,0.003405848,0.031420142
ORANGE,2012,42260,38871,38929,38895,1261,125,73,2.37,0.921178419,0.001727402,0.032796971
ORANGE,2013,42781,38986,38951,39211,1545,108,113,3.64,0.910474276,0.002641359,0.038638648
ORANGE,2014,41821,38554,38544,38838,1238,118,445,14.33,0.921642237,0.010640587,0.032423902
PLACER,2010,5289,4843,4838,4845,226,15,80,22.84,0.914728682,0.015125733,0.04556627
PLACER,2011,5280,4652,4663,4686,344,7,19,5.33,0.883143939,0.003598485,0.066477273
PLACER,2012,5530,4807,4821,4832,448,7,11,3.05,0.871790235,0.00198915,0.082278481
PLACER,2013,5546,4877,4883,4926,421,12,86,23.55,0.880454382,0.015506671,0.078074288
PLACER,2014,5485,4832,4832,4870,439,22,122,33.41,0.88094804,0.022242479,0.084047402
PLUMAS,2010,162,145,145,145,10,0,2,10.05,0.895061728,0.012345679,0.061728395
PLUMAS,2011,182,167,167,166,12,0,4,20.06,0.917582418,0.021978022,0.065934066
PLUMAS,2012,194,172,174,174,18,0,0,0,0.896907216,0,0.092783505
PLUMAS,2013,157,133,132,134,16,0,1,5.19,0.840764331,0.006369427,0.101910828
PLUMAS,2014,140,121,119,121,9,0,1,5.19,0.85,0.007142857,0.064285714
RIVERSIDE,2010,31953,30494,30538,30436,586,50,467,21.31,0.955716208,0.014615216,0.019904234
RIVERSIDE,2011,33079,31573,31470,31578,586,43,166,7.48,0.951358868,0.00501829,0.019015085
RIVERSIDE,2012,33961,32402,32292,32365,773,36,46,2.04,0.950855393,0.001354495,0.023821442
RIVERSIDE,2013,33735,32018,31974,32098,951,49,80,3.53,0.947799022,0.002371424,0.029642804
RIVERSIDE,2014,34256,32745,32687,32816,842,59,449,19.8,0.954197805,0.013107193,0.026301962
SACRAMENTO,2010,19216,16955,16915,16790,614,27,175,12.32,0.880256037,0.009106994,0.033357619
SACRAMENTO,2011,20108,17566,17471,17584,617,22,69,4.82,0.868858166,0.00343147,0.031778397
SACRAMENTO,2012,19520,17037,17015,17134,834,46,35,2.44,0.871670082,0.001793033,0.045081967
SACRAMENTO,2013,19181,16753,16751,16980,1031,30,70,4.84,0.873312132,0.003649445,0.055315156
SACRAMENTO,2014,19462,17373,17321,17617,882,39,443,30.6,0.889990751,0.022762306,0.047322988
SAN BENITO,2010,855,821,825,819,11,1,7,12.65,0.964912281,0.008187135,0.014035088
SAN BENITO,2011,906,880,880,881,10,4,3,5.36,0.971302428,0.003311258,0.015452539
SAN BENITO,2012,890,869,865,866,7,1,1,1.76,0.971910112,0.001123596,0.008988764
SAN BENITO,2013,896,871,871,874,7,1,1,1.75,0.972098214,0.001116071,0.008928571
SAN BENITO,2014,880,858,856,859,10,2,10,17.46,0.972727273,0.011363636,0.013636364
SAN BERNARDINO,2010,31718,30336,30287,30144,556,59,182,8.93,0.954883662,0.005738067,0.019389621
SAN BERNARDINO,2011,32677,31312,31192,31304,617,52,115,5.6,0.954555192,0.003519295,0.020473116
SAN BERNARDINO,2012,31972,30595,30483,30584,787,37,54,2.62,0.953427999,0.001688978,0.025772551
SAN BERNARDINO,2013,32472,30740,30680,30837,905,50,39,1.88,0.944813994,0.001201035,0.029409953
SAN BERNARDINO,2014,33643,32009,31981,32147,714,58,195,9.39,0.950598936,0.005796154,0.022946824
SAN DIEGO,2010,41492,38761,38763,38671,1296,87,1140,36.74,0.934228285,0.027475176,0.033331727
SAN DIEGO,2011,42967,40151,40043,40088,1413,88,398,12.73,0.931947774,0.009262923,0.034933786
SAN DIEGO,2012,42433,39232,39247,39249,1625,65,162,5.14,0.924916928,0.003817783,0.039827493
SAN DIEGO,2013,43026,39481,39542,39622,1918,98,408,12.82,0.919025705,0.009482638,0.04685539
SAN DIEGO,2014,43607,40834,40837,40974,1495,95,1856,58.33,0.936478088,0.042561974,0.036462036
SAN FRANCISCO,2010,6516,6100,5937,5951,78,12,141,17.49,0.911141805,0.021639042,0.013812155
SAN FRANCISCO,2011,6698,6203,6087,6064,97,8,70,8.61,0.90877874,0.010450881,0.015676321
SAN FRANCISCO,2012,6641,6177,6068,6037,91,17,30,3.65,0.913717814,0.004517392,0.016262611
SAN FRANCISCO,2013,6535,6033,5926,5914,106,11,59,7.1,0.906809487,0.009028309,0.017903596
SAN FRANCISCO,2014,6515,5839,5768,5780,117,9,117,14.08,0.88534152,0.017958557,0.019339985
SAN JOAQUIN,2010,10997,10620,10635,10593,124,16,84,12.23,0.967081931,0.007638447,0.012730745
